"","PUBCHEM_CID","PUBCHEM_EXT_DATASOURCE_SMILES"
"1",8333,"C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)O"
"2",54710,"CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C(C)N3C(=O)C4=CC=CC=C4C3=O"
"3",64179,"CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C34CC5CC(C3)CC(C5)C4"
"4",64580,"CC12CN3CC(C1=O)(CN(C2)C3C4=CNC5=CC=CC=C54)C"
"5",64967,"CC1(O[C@@H]2[C@H](O[C@H]([C@@H]2O1)N3C=CC(=O)NC3=O)CO)C"
"6",77616,"C1=CC=C(C(=C1)C(=O)N)Br"
"7",95775,"CC1=CC(=O)OC(=C1C(=O)O)C"
"8",97891,"C1C(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3"
"9",98101,"C1=CC=C(C=C1)CC(C(=O)NCC(=O)O)NC(=O)OCC2=CC=CC=C2"
"10",98125,"CC(C1=CC=CC=C1)N=CC2=CC=CC=C2O"
"11",104563,"CCCN1C(=CC(=O)N(C1=O)C)N"
"12",145454,"CC1(C2CCC13CS(=O)(=O)NC3C2)C"
"13",149110,"CC1(C2=C(CCN1)C3=CC=CC=C3N2)C(=O)OC"
"14",170476,"CC(C)OC1=C(C=C(C(=C1)N)Cl)Cl"
"15",176545,"C1CCN(C1)CC(=O)NC2=CC=C(C=C2)S(=O)(=O)N"
"16",179436,"CC(C)(C)C1=NN=C(S1)NC(=O)NC"
"17",226204,"C1CCC(CC1)(C(C2=CC=CC=C2)C(=O)O)O"
"18",229297,"COC(=O)NC1(CCCC1)C(=O)O"
"19",232056,"CC1=C(C=CC=C1S(=O)(=O)N)NC(=O)C"
"20",232315,"CCCCCCCC1(C(=O)NC(=O)N1)C"
"21",233262,"C1=CC(=C(N=C1)Br)C(=O)O"
"22",235295,"CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CO"
"23",235333,"C=CCNC(=O)C1COC2=CC=CC=C2O1"
"24",246222,"C1=CC=C(C=C1)CC2=C(ONC2=O)N"
"25",252159,"CC1=C(N=C2C(=N1)C=CC=N2)C"
"26",261419,"C1=CC=C(C=C1)N2C=NNC2=O"
"27",264115,"CN1CCC23C4NC5=CC=CC=C5C2(C1NC6=CC=CC=C36)CCN4C"
"28",291865,"C1=CC=C(C=C1)C2=C(SC(=N2)N)CC(=O)O"
"29",308839,"CCOC1=CC=C(C=C1)NC2=CC(=O)NC(=O)N2"
"30",314465,"CC(=O)NC1C(C2C(COC(O2)(C)C)OC1OCC3=CC=CC=C3)O"
"31",324442,"CCC(=O)NNC1=NC(=CC=C1)Cl"
"32",336252,"C1CCC2=C(C1)C3=C(S2)N=CN4C3=NN=C4"
"33",343948,"CC(=O)NC1=CC=C2CCC3=C2C1=CC=C3"
"34",363890,"C1=CC=C(C=C1)S(=O)(=O)CC2=CC=CC=C2[N+](=O)[O-]"
"35",368752,"COC(=O)C1CC(=NO1)C2=CC=C(C=C2)Cl"
"36",531821,"COC1=CC(=C(C=C1)OC)NC(=O)C2CCCCC2"
"37",540026,"CCOP(=O)(C(C(Cl)(Cl)Cl)NC(=O)C)OCC"
"38",550278,"CCOC(=O)C1=NN(C(=O)C(=N1)N)C2=CC=C(C=C2)C"
"39",559616,"CC1(OC(C(O1)C(=O)N)C(=O)N)C"
"40",565087,"C1CC2CC1CC2OC(=O)CCC(=O)O"
"41",571855,"CC(=O)NC1=CC=C(C=C1)CC(=O)OC"
"42",580247,"CC1C(=O)NC(S1)C2=CC=C(C=C2)F"
"43",580731,"C1CN(CCC1C(=O)NN)S(=O)(=O)C2=CC=C(C=C2)Cl"
"44",625950,"CNC1=NC(=NC(=N1)N)OC(C(F)(F)F)C(F)(F)F"
"45",630647,"CC1=CC=C(C=C1)N=CC2=C(N(C(=O)NC2=O)C3=CC=C(C=C3)C)O"
"46",644399,"CC(C)CCN1C(=NN=N1)C(C2=CC=CC=C2)N3CCN(CC3)C"
"47",645242,"CC1=NN=C(S1)NS(=O)(=O)C"
"48",645433,"CC1=CC(=NO1)NC(=O)CSC2=NN=C(N2CC3CCCO3)C4=CC=CO4"
"49",645543,"CN(C1=NN=C(S1)C2=CN=CC=C2)C(=O)C3=CC(=C(C(=C3)OC)OC)OC"
"50",645614,"CC1=C(C(NC(=O)N1)C2=CC=C(C=C2)Cl)C(=O)N"
"51",645803,"COC1=C(C=C(C=C1)C2=NN=C(O2)SCC(=O)N3CCCC3)OC"
